timestamp_et,market_title,outcome,side,size,price
2026-01-02 10:32:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.67
2026-01-02 10:32:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.67
2026-01-02 10:32:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.67
2026-01-02 10:32:15,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.67
2026-01-02 10:32:25,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.29
2026-01-02 10:33:01,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.74
2026-01-02 10:33:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.74
2026-01-02 10:33:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.74
2026-01-02 10:33:03,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.74
2026-01-02 10:34:35,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.13
